country_name,country_code,year,food_index,gdp,gdp_capita,rd,school_enroll_prep,school_enroll_prim,school_gpi,tax_rev,trade,conflict
Afghanistan,AFG,1960,,,,,,,,,11.15702658,0.0
Afghanistan,AFG,1961,54.2,,,,,,,,12.55060956,0.0
Afghanistan,AFG,1962,54.86,,,,,,,,14.22764443,0.0
Afghanistan,AFG,1963,54.83,,,,,,,,26.03551143,0.0
Afghanistan,AFG,1964,59.32,,,,,,,,26.94444795,0.0
Afghanistan,AFG,1965,62.16,,,,,,,,32.67108262,0.0
Afghanistan,AFG,1966,64.32,,,,,,,,27.14285731,0.0
Afghanistan,AFG,1967,70.44,,,,,,,,20.98273546,0.0
Afghanistan,AFG,1968,73.56,,,,,,,,24.11003307,0.0
Afghanistan,AFG,1969,74.62,,,,,,,,25.07886423,0.0
Afghanistan,AFG,1970,67.96,,,,0.06938,31.34174919,0.16762000300000002,,21.72811007,0.0
Afghanistan,AFG,1971,63.06,,,,0.067960002,32.21033859,0.16162000599999998,,27.06313745,0.0
Afghanistan,AFG,1972,68.45,,,,0.089960001,32.50746918,0.161269993,,32.86908104,0.0
Afghanistan,AFG,1973,73.81,,,,0.08522000199999999,32.87379837,0.16919000399999998,,27.69230879,0.0
Afghanistan,AFG,1974,76.27,,,,0.091980003,33.43759918,0.167410001,,28.86598016,0.0
Afghanistan,AFG,1975,78.49,,,,0.150920004,33.31623077,0.17439000300000002,,26.94835767,0.0
Afghanistan,AFG,1976,84.0,,,,0.224399999,34.29225922,0.18116000300000001,,28.08695666,0.0
Afghanistan,AFG,1977,75.08,,,,0.282999992,35.12284088,0.192839995,,26.48607983,0.0
Afghanistan,AFG,1978,81.19,,,,,36.62601089,0.199399993,,24.71380403,7.0
Afghanistan,AFG,1979,80.2,,,,,,,,,7.0
Afghanistan,AFG,1980,80.1,,,,0.256069988,44.77437973,,,,7.0
Afghanistan,AFG,1981,79.91,,,,0.286489993,48.54335022,0.24300000100000002,,,7.0
Afghanistan,AFG,1982,79.04,,,,0.276989996,17.681089399999998,0.485190004,,,7.0
Afghanistan,AFG,1983,77.24,,,,,,,,,7.0
Afghanistan,AFG,1984,74.33,,,,0.780849993,22.65113068,0.471810013,,,7.0
Afghanistan,AFG,1985,69.44,,,,1.06377995,24.69518089,0.47813999700000004,,,7.0
